Артикул;Вес;Кросс1;Кросс2;URL;file-download
"US - 2940 P";"4,5 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> 940MB </td> </tr> <tr> <th> AIRTECH </th> <td> 3940P </td> </tr> <tr> <th> CF GOMMA 1 </th> <td> 1TC30030 </td> </tr> <tr> <th> CF GOMMA 2 </th> <td> 205536 </td> </tr> <tr> <th> DUNLOP F </th> <td> D11U31 </td> </tr> <tr> <th> FIRESTONE 1 </th> <td> 1T17D4,3 </td> </tr> <tr> <th> FIRESTONE 2 </th> <td> W01M588613 </td> </tr> <tr> <th> GART </th> <td> C293A </td> </tr> <tr> <th> GOODYEAR </th> <td> 1R11703 </td> </tr> <tr> <th> PHOENIX </th> <td> 1DK21K </td> </tr> <tr> <th> TAURUS </th> <td> KR73201 </td> </tr> <tr> <th> VIBRACOUSTIC </th> <td> V1DK21K </td> </tr> </tbody>";"<tbody> <tr> <th> BPW </th> <td> 0542940910 </td> </tr> <tr> <th> BPW </th> <td> 0542941510 </td> </tr> <tr> <th> BPW </th> <td> 0542940931 </td> </tr> <tr> <th> MERITOR </th> <td> MLF8045 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/114";"US - 2940 P.png"
"US - 2889 P";"3,5 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> 889M </td> </tr> <tr> <th> AIRTECH </th> <td> 3889P </td> </tr> <tr> <th> FIRESTONE 1 </th> <td> 1T15LLR5 </td> </tr> <tr> <th> FIRESTONE 2 </th> <td> W01M580781 </td> </tr> <tr> <th> FIRESTONE 3 </th> <td> W01M588679 </td> </tr> <tr> <th> GOODYEAR </th> <td> 1R11843 </td> </tr> </tbody>";"<tbody> <tr> <th> DAF </th> <td> 1276846 </td> </tr> <tr> <th> DAF </th> <td> 1279141 </td> </tr> <tr> <th> DAF </th> <td> 1698434 </td> </tr> <tr> <th> DAF </th> <td> 1697679 </td> </tr> <tr> <th> GRANNING </th> <td> 16225 </td> </tr> <tr> <th> FORD CARGO </th> <td> 1838 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/110";"US - 2889 P.png"
"US - 2836 P10";"4,2 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> 836NP10 </td> </tr> <tr> <th> GOODYEAR </th> <td> 1R12849 </td> </tr> </tbody>";"<tbody> <tr> <th> DAF </th> <td> 1794420 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/103";"US - 2836 P10.png"
"US - 2887 P";"4,5 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> 887M </td> </tr> <tr> <th> AIRTECH </th> <td> 3887P </td> </tr> <tr> <th> FIRESTONE 1 </th> <td> 1T15LNR3 </td> </tr> <tr> <th> FIRESTONE 2 </th> <td> W01M580780 </td> </tr> <tr> <th> GOODYEAR </th> <td> 1R11796 </td> </tr> <tr> <th> SPRINGRIDE </th> <td> D11U41 </td> </tr> </tbody>";"<tbody> <tr> <th> DAF </th> <td> 0513983 </td> </tr> <tr> <th> VDL BUS </th> <td> 0513983 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/105";"US - 2887 P.png"
"US - 2836 P02";"3,95 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> 836M2 </td> </tr> <tr> <th> AIRTECH </th> <td> 383602P </td> </tr> <tr> <th> DUNLOP F </th> <td> D13U31 </td> </tr> <tr> <th> FIRESTONE 1 </th> <td> 1T17AR4,5 </td> </tr> <tr> <th> FIRESTONE 2 </th> <td> W01D080777 </td> </tr> <tr> <th> FIRESTONE 3 </th> <td> W01M580777 </td> </tr> <tr> <th> GOODYEAR </th> <td> 1R12710 </td> </tr> <tr> <th> PHOENIX </th> <td> 1DF253 </td> </tr> <tr> <th> VIBRACOUSTIC </th> <td> VDF253 </td> </tr> </tbody>";"<tbody> <tr> <th> DAF </th> <td> 0513982 </td> </tr> <tr> <th> VDL/BUS </th> <td> 0513982 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/99";"US - 2836 P02.png"
"US - 2836 P01";"3,85 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> 836M </td> </tr> <tr> <th> AIRTECH </th> <td> 3836P </td> </tr> <tr> <th> DUNLOP F </th> <td> D13U32 </td> </tr> <tr> <th> FIRESTONE 1 </th> <td> 1T17AR45 </td> </tr> <tr> <th> FIRESTONE 2 </th> <td> W01D080776 </td> </tr> <tr> <th> FIRESTONE 3 </th> <td> W01M580776 </td> </tr> <tr> <th> GOODYEAR </th> <td> 1R12700 </td> </tr> <tr> <th> PHOENIX </th> <td> 1DF251NP </td> </tr> <tr> <th> TAURUS </th> <td> KR721 </td> </tr> <tr> <th> VIBRACOUSTIC </th> <td> VDF251 </td> </tr> </tbody>";"<tbody> <tr> <th> DAF </th> <td> 0067504 </td> </tr> <tr> <th> VDL/BUS </th> <td> 0067504 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/97";"US - 2836 P01.png"
"US - 2725 P";"6,5 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> 725NP01 </td> </tr> <tr> <th> AIRTECH </th> <td> 3725P </td> </tr> <tr> <th> CF GOMMA 1 </th> <td> 1TCS36045 </td> </tr> <tr> <th> CF GOMMA 2 </th> <td> 202964 </td> </tr> <tr> <th> FIRESTONE 1 </th> <td> 1T66E108 </td> </tr> <tr> <th> FIRESTONE 2 </th> <td> W01M588969 </td> </tr> <tr> <th> GART </th> <td> C2925 </td> </tr> <tr> <th> GOODYEAR </th> <td> 1R14704 </td> </tr> <tr> <th> VIBRACOUSTIC </th> <td> V1DF32 </td> </tr> </tbody>";"<tbody> <tr> <th> GIGANT </th> <td> 166217 </td> </tr> <tr> <th> GIGANT </th> <td> 246149 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/94";"US - 2725 P.png"
"US - 2465 P";"4,96 Kg.";"<tbody> <tr> <th> SPECIAL PRD. </th> <td> </td> </tr> </tbody>";"<tbody> </tbody>";"http://www.usmerkaucuk.com/products/details/m/92";"US - 2465 P.png"
"US - 2435 P";"4,1 Kg.";"<tbody> <tr> <th> PHOENIX </th> <td> 1D2435L </td> </tr> <tr> <th> TAURUS </th> <td> KR25035L </td> </tr> </tbody>";"<tbody> <tr> <th> PANAV </th> <td> </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/90";"US - 2435 P.png"
"US - 2416 P";"3,8 Kg.";"<tbody> <tr> <th> PHOENIX </th> <td> 1DF25A1NP </td> </tr> <tr> <th> VIBRACOUSTIC </th> <td> V1DF25A1NP </td> </tr> </tbody>";"<tbody> <tr> <th> SOLARIS </th> <td> 1001101044 </td> </tr> <tr> <th> SOLARIS </th> <td> 1001101046 </td> </tr> <tr> <th> SOLARIS </th> <td> 1001101047 </td> </tr> <tr> <th> SOLARIS </th> <td> 1001101058 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/88";"US - 2416 P.png"
"US - 2415 P";"5,1 Kg.";"<tbody> <tr> <th> ISUZU </th> <td> TURKUAZ </td> </tr> </tbody>";"<tbody> </tbody>";"http://www.usmerkaucuk.com/products/details/m/86";"US - 2415 P.png"
"US - 2045 P";"4,5 Kg.";"<tbody> <tr> <th> SPECIAL PRD. </th> <td> YSD </td> </tr> </tbody>";"<tbody> </tbody>";"http://www.usmerkaucuk.com/products/details/m/82";"US - 2045 P.png"
"US - 2069 P";"2,1 Kg.";"<tbody> <tr> <th> SPECIAL PRD. </th> <td> </td> </tr> </tbody>";"<tbody> <tr> <th> BMC </th> <td> 53RS900069AA </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/84";"US - 2069 P.png"
"US - 2035 P";"4,93 Kg.";"<tbody> <tr> <th> SPECIAL PRD. </th> <td> SC </td> </tr> </tbody>";"<tbody> </tbody>";"http://www.usmerkaucuk.com/products/details/m/80";"US - 2035 P.png"
"US - 125 P02";"3,94 Kg.";"<tbody> <tr> <th> SPECIAL PRD. </th> <td> </td> </tr> </tbody>";"<tbody> <tr> <th> BMC </th> <td> 53RS900061 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/76";"US - 125 P02.png"
"US - 2016 P";"3,94 Kg.";"<tbody> <tr> <th> AIRTECH </th> <td> DORSE16P </td> </tr> </tbody>";"<tbody> </tbody>";"http://www.usmerkaucuk.com/products/details/m/78";"US - 2016 P.png"
"US - 125 P01";"4,3 Kg.";"<tbody> <tr> <th> SPECIAL PRD. </th> <td> </td> </tr> </tbody>";"<tbody> <tr> <th> BMC PROCITY </th> <td> 57RS900004A </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/74";"US - 125 P01.png"
"US - 125 P";"3,98 Kg.";"<tbody> <tr> <th> SPECIAL PRD. </th> <td> </td> </tr> </tbody>";"<tbody> <tr> <th> BMC BELDE </th> <td> 7B100323 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/72";"US - 125 P.png"
"US - 25484";"1,45 Kg.";"<tbody> </tbody>";"<tbody> <tr> <th> IVECO DORUK </th> <td> FRONT(on) </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/67";"US - 25484.png"
"US - 24810 T";"2,9 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> 810NTB </td> </tr> <tr> <th> AIRTECH </th> <td> 34810T </td> </tr> <tr> <th> CF GOMMA 1 </th> <td> 1T19E1 </td> </tr> <tr> <th> CF GOMMA 2 </th> <td> 93702 </td> </tr> <tr> <th> DUNLOP UK </th> <td> PNP311380000 </td> </tr> <tr> <th> FIRESTONE 1 </th> <td> 1T19L7 </td> </tr> <tr> <th> FIRESTONE 2 </th> <td> W01M580749 </td> </tr> <tr> <th> GOODYEAR </th> <td> 1R14713 </td> </tr> <tr> <th> PHOENIX </th> <td> 1DK28A4 </td> </tr> <tr> <th> TAURUS </th> <td> UR62103 </td> </tr> </tbody>";"<tbody> <tr> <th> MAN </th> <td> 81436016019 </td> </tr> <tr> <th> MAN </th> <td> 81436010042 </td> </tr> <tr> <th> PEGASO </th> <td> 174933 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/66";"US - 24810 T.png"
"US - 24156 T";"3,3 Kg.";"<tbody> <tr> <th> SPECIAL PRD. </th> <td> </td> </tr> </tbody>";"<tbody> <tr> <th> MAN </th> <td> SL200 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/64";"US - 24156 T.png"
"US - 24810 NT";"2,9 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> 810NT </td> </tr> <tr> <th> CF GOMMA 1 </th> <td> 1T19E15 </td> </tr> <tr> <th> GOODYEAR </th> <td> 1R14714 </td> </tr> </tbody>";"<tbody> <tr> <th> MAN </th> <td> 81436010047 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/65";"US - 24810 NT.png"
"US - 21888";"2 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> 1888N </td> </tr> <tr> <th> AIRTECH </th> <td> 31888 </td> </tr> </tbody>";"<tbody> <tr> <th> MAN </th> <td> 81436010163 </td> </tr> <tr> <th> SOCHS </th> <td> 001748451100 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/63";"US - 21888.png"
"US - 21885";"1,7 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> 1885N1 </td> </tr> <tr> <th> AIRTECH </th> <td> 31885 </td> </tr> <tr> <th> CF GOMMA 1 </th> <td> 1SC27028 </td> </tr> <tr> <th> CF GOMMA 2 </th> <td> 97043 </td> </tr> <tr> <th> CF GOMMA 3 </th> <td> 97043 </td> </tr> <tr> <th> DUNLOP F </th> <td> D12507 </td> </tr> <tr> <th> FIRESTONE 1 </th> <td> 1R2A445280 </td> </tr> <tr> <th> FIRESTONE 2 </th> <td> W010950429 </td> </tr> <tr> <th> GART </th> <td> C289C </td> </tr> <tr> <th> GOODYEAR </th> <td> 9003 </td> </tr> <tr> <th> PHOENIX </th> <td> 1F20B </td> </tr> <tr> <th> VIBRACOUSTIC </th> <td> V1F20B </td> </tr> </tbody>";"<tbody> <tr> <th> IVECO </th> <td> 98478799 </td> </tr> <tr> <th> MAN </th> <td> 81436010125 </td> </tr> <tr> <th> MAN </th> <td> 81436010140 </td> </tr> <tr> <th> MAN </th> <td> 81436010150 </td> </tr> <tr> <th> MAN </th> <td> 81436010123 </td> </tr> <tr> <th> MAN </th> <td> 81436010111 </td> </tr> <tr> <th> MAN </th> <td> 81436010109 </td> </tr> <tr> <th> MAN </th> <td> 81436010104 </td> </tr> <tr> <th> WABCO </th> <td> 896130114 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/62";"US - 21885.png"
"US - 21421";"Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> 1421N </td> </tr> <tr> <th> AIRTECH </th> <td> 31421 </td> </tr> <tr> <th> FIRESTONE 1 </th> <td> 1R2A490305 </td> </tr> <tr> <th> FIRESTONE 2 </th> <td> W010950472 </td> </tr> <tr> <th> GOODYEAR </th> <td> 9072 </td> </tr> <tr> <th> GOODYEAR 2 </th> <td> 556039072 </td> </tr> <tr> <th> DUNLOP </th> <td> D12S18 </td> </tr> <tr> <th> GART </th> <td> C299E </td> </tr> <tr> <th> GART 2 </th> <td> 2990490 </td> </tr> </tbody>";"<tbody> <tr> <th> VOLVO </th> <td> 1075290 </td> </tr> <tr> <th> VOLVO </th> <td> 1593842 </td> </tr> <tr> <th> VOLVO </th> <td> 1622122 </td> </tr> <tr> <th> VOLVO </th> <td> 1622115 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/60";"US - 21421.png"
"US - 21819";"1,1 Kg.";"<tbody> <tr> <th> SPECIAL PRD. </th> <td> ITL </td> </tr> </tbody>";"<tbody> </tbody>";"http://www.usmerkaucuk.com/products/details/m/61";"US - 21819.png"
"US - 2945";"1,75 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> 945N </td> </tr> <tr> <th> AIRTECH </th> <td> 3945 </td> </tr> <tr> <th> CF GOMMA 1 </th> <td> 1S28525 </td> </tr> <tr> <th> CF GOMMA 2 </th> <td> 97555 </td> </tr> <tr> <th> DUNLOP F </th> <td> D11S01 </td> </tr> <tr> <th> DUNLOP UK </th> <td> PNP301000101 </td> </tr> <tr> <th> FIRESTONE 1 </th> <td> 1R1A460290 </td> </tr> <tr> <th> FIRESTONE 2 </th> <td> W010950063 </td> </tr> <tr> <th> GART 1 </th> <td> D276 </td> </tr> <tr> <th> GART 2 </th> <td> 2760420 </td> </tr> <tr> <th> GOODYEAR </th> <td> 9014 </td> </tr> <tr> <th> PHOENIX </th> <td> 1E21C </td> </tr> <tr> <th> TAURUS </th> <td> K152 </td> </tr> </tbody>";"<tbody> <tr> <th> MENARINI </th> <td> 178741 </td> </tr> <tr> <th> IVECO BUS </th> <td> 4716989 </td> </tr> <tr> <th> PEGASO </th> <td> 197145 </td> </tr> <tr> <th> PEGASO </th> <td> 4716989 </td> </tr> <tr> <th> PEGASO </th> <td> 769388 </td> </tr> <tr> <th> RVI </th> <td> 5000787632 </td> </tr> <tr> <th> SCANIA </th> <td> 523229 </td> </tr> <tr> <th> WABCO </th> <td> 8961301944 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/59";"US - 2945.png"
"US - 2944";"1,55 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> 944N </td> </tr> <tr> <th> AIRTECH </th> <td> 3944 </td> </tr> <tr> <th> CF GOMMA 1 </th> <td> 1S28522 </td> </tr> <tr> <th> CF GOMMA 2 </th> <td> 97619 </td> </tr> <tr> <th> DUNLOP F </th> <td> D11S04 </td> </tr> <tr> <th> FIRESTONE 1 </th> <td> 1R1B390270 </td> </tr> <tr> <th> FIRESTONE 2 </th> <td> W010950121 </td> </tr> <tr> <th> GART </th> <td> D290B </td> </tr> <tr> <th> GOODYEAR </th> <td> 9009 </td> </tr> <tr> <th> PHOENIX </th> <td> 1E216 </td> </tr> <tr> <th> VIBRACOUSTIC </th> <td> V1E216 </td> </tr> <tr> <th> TAURUS </th> <td> B113 </td> </tr> </tbody>";"<tbody> <tr> <th> VOLVO </th> <td> 1999893 </td> </tr> <tr> <th> INBUS </th> <td> 4840005 </td> </tr> <tr> <th> INBUS </th> <td> 4890001 </td> </tr> <tr> <th> IVECO </th> <td> 4738008 </td> </tr> <tr> <th> IVECO </th> <td> 4722525 </td> </tr> <tr> <th> IVECO </th> <td> 8188526 </td> </tr> <tr> <th> IVECO </th> <td> 4736728 </td> </tr> <tr> <th> IVECO BUS </th> <td> 4714025 </td> </tr> <tr> <th> IVECO BUS </th> <td> 6657150 </td> </tr> <tr> <th> IVECO BUS </th> <td> 5254025 </td> </tr> <tr> <th> PORTESI </th> <td> 700176 </td> </tr> <tr> <th> MENARINI </th> <td> 325993 </td> </tr> <tr> <th> MENARINI </th> <td> 178623 </td> </tr> <tr> <th> PORTESI </th> <td> 700176 </td> </tr> <tr> <th> SCANIA </th> <td> 523229 </td> </tr> <tr> <th> SICCA </th> <td> 4840005 </td> </tr> <tr> <th> VAN HOOL </th> <td> 624319860 </td> </tr> <tr> <th> VDL BUS </th> <td> 0627584 </td> </tr> <tr> <th> VOLVO </th> <td> 1611776 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/58";"US - 2944.png"
"US - 2943";"1,3 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> 943N </td> </tr> <tr> <th> AIRTECH </th> <td> 3943 </td> </tr> <tr> <th> CF GOMMA 1 </th> <td> 1S28518 </td> </tr> <tr> <th> CF GOMMA 2 </th> <td> 88809 </td> </tr> <tr> <th> DUNLOP F </th> <td> D11S05 </td> </tr> <tr> <th> DUNLOP UK </th> <td> PNP316730100 </td> </tr> <tr> <th> FIRESTONE 1 </th> <td> 1R1A260285 </td> </tr> <tr> <th> FIRESTONE 2 </th> <td> W010950189 </td> </tr> <tr> <th> GART 1 </th> <td> D276D </td> </tr> <tr> <th> GART 2 </th> <td> 2760260 </td> </tr> <tr> <th> GOODYEAR </th> <td> 9001 </td> </tr> <tr> <th> TAURUS </th> <td> B194 </td> </tr> </tbody>";"<tbody> <tr> <th> BREDA M. </th> <td> 55001051 </td> </tr> <tr> <th> INBUS </th> <td> 5001051 </td> </tr> <tr> <th> IVECO </th> <td> 5317Vo5316Vo </td> </tr> <tr> <th> IVECO </th> <td> 8160165 </td> </tr> <tr> <th> IVECO BUS </th> <td> 6144040 </td> </tr> <tr> <th> PEGASO </th> <td> 199563 </td> </tr> <tr> <th> SICCA </th> <td> 4890001 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/57";"US - 2943.png"
"US - 2936";"1,5 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> 936N </td> </tr> <tr> <th> AIRTECH </th> <td> 3936 </td> </tr> <tr> <th> DUNLOP F </th> <td> D12S01 </td> </tr> <tr> <th> DUNLOP UK </th> <td> PNP309070100 </td> </tr> <tr> <th> GOODYEAR </th> <td> 9042 </td> </tr> <tr> <th> GOODYEAR 2 </th> <td> 556039042 </td> </tr> </tbody>";"<tbody> <tr> <th> IRISBUS </th> <td> 5000819370 </td> </tr> <tr> <th> WABCO </th> <td> 8961301704 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/56";"US - 2936.png"
"US - 2928";"1,5 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> 928N </td> </tr> <tr> <th> AIRTECH </th> <td> 3928 </td> </tr> <tr> <th> DUNLOP F </th> <td> D12S03 </td> </tr> <tr> <th> DUNLOP UK </th> <td> 1C3308 </td> </tr> <tr> <th> FIRESTONE 1 </th> <td> 1R1K380320 </td> </tr> <tr> <th> FIRESTONE 2 </th> <td> W010950228 </td> </tr> <tr> <th> GOODYEAR </th> <td> 8042 </td> </tr> <tr> <th> PHOENIX </th> <td> 2E23A </td> </tr> <tr> <th> TAURUS </th> <td> B178 </td> </tr> <tr> <th> VIBRACOUSTIC </th> <td> V2E23A </td> </tr> </tbody>";"<tbody> <tr> <th> DENNIS </th> <td> 6502928 </td> </tr> <tr> <th> DENNIS </th> <td> 6508834 </td> </tr> <tr> <th> DENNIS </th> <td> 6508837 </td> </tr> <tr> <th> DENNIS </th> <td> 68612 </td> </tr> <tr> <th> IVECO BUS </th> <td> 6453741 </td> </tr> <tr> <th> MCW </th> <td> X6641056 </td> </tr> <tr> <th> SCANIA </th> <td> 434932 </td> </tr> <tr> <th> VOLVO </th> <td> 10904403 </td> </tr> <tr> <th> VOLVO </th> <td> 3116983 </td> </tr> <tr> <th> LEYLAND </th> <td> AAU2544 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/55";"US - 2928.png"
"US - 2927";"1,4 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> 927N </td> </tr> <tr> <th> AIRTECH </th> <td> 3927 </td> </tr> <tr> <th> DUNLOP UK </th> <td> PNP300080100 </td> </tr> <tr> <th> FIRESTONE 1 </th> <td> 1R1J415285 </td> </tr> <tr> <th> FIRESTONE 2 </th> <td> W010950244 </td> </tr> <tr> <th> GOODYEAR </th> <td> 8037 </td> </tr> <tr> <th> PHOENIX </th> <td> 2E18B </td> </tr> <tr> <th> TAURUS </th> <td> B179 </td> </tr> <tr> <th> VIBRACOUSTIC </th> <td> V2E18B </td> </tr> <tr> <th> GOODYEAR 2 </th> <td> 556038037 </td> </tr> </tbody>";"<tbody> <tr> <th> DENNIS </th> <td> 61189612 </td> </tr> <tr> <th> DENNIS </th> <td> 68523 </td> </tr> <tr> <th> VOLVO </th> <td> 3116354 </td> </tr> <tr> <th> VOLVO </th> <td> AAU2542 </td> </tr> <tr> <th> JONCKHEERE </th> <td> </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/54";"US - 2927.png"
"US - 2921";"1,47 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> 921N </td> </tr> <tr> <th> AIRTECH </th> <td> 3921 </td> </tr> <tr> <th> CF GOMMA 1 </th> <td> 1S28523V </td> </tr> <tr> <th> CF GOMMA 2 </th> <td> 202728 </td> </tr> <tr> <th> DUNLOP F </th> <td> D10S04 </td> </tr> <tr> <th> FIRESTONE 1 </th> <td> 1R1A415260 </td> </tr> <tr> <th> FIRESTONE 2 </th> <td> W010950226 </td> </tr> <tr> <th> GART </th> <td> D276B5 </td> </tr> <tr> <th> GOODYEAR </th> <td> 8043 </td> </tr> <tr> <th> PHOENIX </th> <td> 1E17 </td> </tr> <tr> <th> TAURUS </th> <td> B158 </td> </tr> <tr> <th> VIBRACOUSTIC </th> <td> V1E17 </td> </tr> <tr> <th> GOODYEAR 2 </th> <td> 556038043 </td> </tr> </tbody>";"<tbody> <tr> <th> IVECO BUS </th> <td> 99459166 </td> </tr> <tr> <th> EVO BUS </th> <td> A0003280001 </td> </tr> <tr> <th> HEULIEZ </th> <td> 5000288982 </td> </tr> <tr> <th> RENAULT </th> <td> 5000288982 </td> </tr> <tr> <th> RENAULT-IRIS </th> <td> 5000288982 </td> </tr> <tr> <th> RENAULT-IRIS </th> <td> 5010151378 </td> </tr> <tr> <th> RENAULT-IRIS </th> <td> 5010151379 </td> </tr> <tr> <th> KASSBOHRER </th> <td> 4771503000 </td> </tr> <tr> <th> NEOPLAN </th> <td> TEMSA </td> </tr> <tr> <th> WABCO </th> <td> 8961301544 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/51";"US - 2921.png"
"US - 2916";"1,9 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> 916N1 </td> </tr> <tr> <th> AIRTECH </th> <td> 3916 </td> </tr> <tr> <th> DUNLOP F </th> <td> D12S05 </td> </tr> <tr> <th> FIRESTONE 1 </th> <td> 2R2A460295 </td> </tr> <tr> <th> FIRESTONE 2 </th> <td> W010950555 </td> </tr> <tr> <th> GART </th> <td> C289C1 </td> </tr> <tr> <th> GOODYEAR </th> <td> 9015 </td> </tr> <tr> <th> PHOENIX </th> <td> 1F21C5 </td> </tr> <tr> <th> TAURUS </th> <td> B154 </td> </tr> <tr> <th> VIBRACOUSTIC </th> <td> V1F21C5 </td> </tr> </tbody>";"<tbody> <tr> <th> MAN </th> <td> 81436010095 </td> </tr> <tr> <th> MAN </th> <td> 81436010097 </td> </tr> <tr> <th> MAN </th> <td> 81436010102 </td> </tr> <tr> <th> MAN </th> <td> 81436010105 </td> </tr> <tr> <th> MAN </th> <td> 81436010126 </td> </tr> <tr> <th> MAN </th> <td> 81436010138 </td> </tr> <tr> <th> MAN </th> <td> 81436010100 </td> </tr> <tr> <th> TEMSA </th> <td> TE771107Y </td> </tr> <tr> <th> ZFSACHS </th> <td> 1770000160 </td> </tr> <tr> <th> WABCO </th> <td> 8961301194 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/50";"US - 2916.png"
"US - 2897";"1,6 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> 897N </td> </tr> <tr> <th> AIRTECH </th> <td> 3897 </td> </tr> <tr> <th> CF GOMMA 1 </th> <td> 1S32030 </td> </tr> <tr> <th> CF GOMMA 2 </th> <td> 88788 </td> </tr> <tr> <th> DUNLOP F </th> <td> SP2192 </td> </tr> <tr> <th> DUNLOP UK </th> <td> PNP305210101 </td> </tr> <tr> <th> DUNLOP UK 2 </th> <td> PNP305210100 </td> </tr> <tr> <th> FIRESTONE 1 </th> <td> 1R1K440320 </td> </tr> <tr> <th> FIRESTONE 2 </th> <td> W010950174 </td> </tr> <tr> <th> FIRESTONE 3 </th> <td> W010950229 </td> </tr> <tr> <th> GART </th> <td> D278 </td> </tr> <tr> <th> GOODYEAR 1 </th> <td> 8028 </td> </tr> <tr> <th> GOODYEAR 2 </th> <td> 8313 </td> </tr> <tr> <th> PHOENIX </th> <td> 2E23 </td> </tr> <tr> <th> TAURUS </th> <td> B165 </td> </tr> </tbody>";"<tbody> <tr> <th> CARDI </th> <td> 58050315 </td> </tr> <tr> <th> DENNIS </th> <td> 6562892 </td> </tr> <tr> <th> IVECO-PEGASO </th> <td> 795097 </td> </tr> <tr> <th> IVECO-PEGASO </th> <td> 794686 </td> </tr> <tr> <th> SCANIA </th> <td> 0411622 </td> </tr> <tr> <th> SCANIA </th> <td> 0411623 </td> </tr> <tr> <th> SCANIA </th> <td> 402315 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/49";"US - 2897.png"
"US - 2896";"1,5 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> 896N </td> </tr> <tr> <th> AIRTECH </th> <td> 3896 </td> </tr> <tr> <th> DUNLOP F </th> <td> SP2191 </td> </tr> <tr> <th> DUNLOP UK </th> <td> PNP305140100 </td> </tr> <tr> <th> FIRESTONE 1 </th> <td> 1R1J520285 </td> </tr> <tr> <th> FIRESTONE 2 </th> <td> W010950173 </td> </tr> <tr> <th> FIRESTONE 3 </th> <td> W010950245 </td> </tr> <tr> <th> GOODYEAR </th> <td> 8040 </td> </tr> <tr> <th> PHOENIX </th> <td> 2E18A </td> </tr> <tr> <th> PIRELLI </th> <td> 1S28518 </td> </tr> <tr> <th> TAURUS </th> <td> B166 </td> </tr> </tbody>";"<tbody> <tr> <th> AWD (BEDFORD) </th> <td> 91101884 </td> </tr> <tr> <th> DENNIS </th> <td> 6556061 </td> </tr> <tr> <th> DENNIS </th> <td> 6563002 </td> </tr> <tr> <th> MERITOR </th> <td> MLF8010 </td> </tr> <tr> <th> SCANIA </th> <td> 411627 </td> </tr> <tr> <th> SCANIA </th> <td> 473049 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/m/48";"US - 2896.png"
