Артикул;Вес;Кросс1;Кросс2;URL;file-download
"US - 204201 KB";"1,5 Kg.";"<tbody> <tr> <th> AIRKRAFT </th> <td> 128013K </td> </tr> <tr> <th> FIRESTONE </th> <td> W02M588025 </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 500340705 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/33";"US - 204201 KB.png"
"US - 204103 K";"2,8 Kg.";"<tbody> <tr> <th> SACHS </th> <td> 310821 </td> </tr> <tr> <th> SACHS </th> <td> 731700135079 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 128016K </td> </tr> <tr> <th> FIRESTONE </th> <td> W02M588023 </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 500357352 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/31";"US - 204103 K.png"
"US - 203603 K";"2,4 Kg.";"<tbody> <tr> <th> SACHS </th> <td> 310620 </td> </tr> <tr> <th> SACHS </th> <td> 312465 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 128004K </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 1495642 </td> </tr> <tr> <th> </th> <td> 1505563 </td> </tr> <tr> <th> </th> <td> 1502470 </td> </tr> <tr> <th> </th> <td> 1502471 </td> </tr> <tr> <th> </th> <td> 1502472 </td> </tr> <tr> <th> </th> <td> 1502474 </td> </tr> <tr> <th> </th> <td> 1595642 </td> </tr> <tr> <th> </th> <td> 1444016(SLEEVE) </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/29";"US - 203603 K.png"
"US - 204101 K";"3,7 Kg.";"<tbody> <tr> <th> SACHS </th> <td> 310820 </td> </tr> <tr> <th> SACHS </th> <td> 310821 </td> </tr> <tr> <th> SACHS </th> <td> 737100000892 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 128012K </td> </tr> <tr> <th> FIRESTONE </th> <td> W02M588022 </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 500357351 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/30";"US - 204101 K.png"
"US - 203601 K";"2,75 Kg.";"<tbody> <tr> <th> SACHS </th> <td> 290987 </td> </tr> <tr> <th> SACHS </th> <td> 312465 </td> </tr> <tr> <th> SACHS </th> <td> 290987 </td> </tr> <tr> <th> SACHS </th> <td> 105871 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 128003K </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 1424227 </td> </tr> <tr> <th> </th> <td> 1363120 </td> </tr> <tr> <th> </th> <td> 1397396 </td> </tr> <tr> <th> </th> <td> 1397390 </td> </tr> <tr> <th> </th> <td> 1397392 </td> </tr> <tr> <th> </th> <td> 1444016(SLEEVE) </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/28";"US - 203601 K.png"
"US - 203502 K";"2,4 Kg.";"<tbody> <tr> <th> SACHS </th> <td> 310619 </td> </tr> <tr> <th> SACHS </th> <td> 319620 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 128001K </td> </tr> <tr> <th> FIRESTONE </th> <td> W02M588009 </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 1505563 </td> </tr> <tr> <th> </th> <td> 1502470 </td> </tr> <tr> <th> </th> <td> 1502471 </td> </tr> <tr> <th> </th> <td> 1502472 </td> </tr> <tr> <th> </th> <td> 1502474 </td> </tr> <tr> <th> </th> <td> 1595642 </td> </tr> <tr> <th> </th> <td> 1495642 </td> </tr> <tr> <th> </th> <td> 1424231(SLEEVE) </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/26";"US - 203502 K.png"
"US - 203403 K";"2,55 Kg.";"<tbody> <tr> <th> SACHS </th> <td> 557001 </td> </tr> <tr> <th> SACHS </th> <td> 105873 </td> </tr> <tr> <th> SACHS </th> <td> 290987 </td> </tr> <tr> <th> GOODYEAR </th> <td> 1SA032 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 201181K </td> </tr> <tr> <th> FIRESTONE </th> <td> W02M588007 </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 1382827 </td> </tr> <tr> <th> </th> <td> 1424229 </td> </tr> <tr> <th> </th> <td> 1349844 </td> </tr> <tr> <th> </th> <td> 1349840(SLEEVE) </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/24";"US - 203403 K.png"
"US - 203401 K";"2,55 Kg.";"<tbody> <tr> <th> SACHS </th> <td> 290988 </td> </tr> <tr> <th> SACHS </th> <td> 557001 </td> </tr> <tr> <th> SACHS </th> <td> 105872 </td> </tr> <tr> <th> GOODYEAR </th> <td> 1SA031 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 201180K </td> </tr> <tr> <th> FIRESTONE </th> <td> W02M588006 </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 1363122 </td> </tr> <tr> <th> </th> <td> 1424228 </td> </tr> <tr> <th> </th> <td> 1381904 </td> </tr> <tr> <th> </th> <td> 1397396 </td> </tr> <tr> <th> </th> <td> 1349840(SLEEVE) </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/23";"US - 203401 K.png"
"US - 203303 K";"2,75 Kg.";"<tbody> <tr> <th> MONROE </th> <td> CB0074 </td> </tr> <tr> <th> MONROE </th> <td> 717262778 </td> </tr> <tr> <th> GOODYEAR </th> <td> 1SA-040 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 128002K </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 1502474 </td> </tr> <tr> <th> </th> <td> 1870893 </td> </tr> <tr> <th> </th> <td> 1502468(SLEEVE) </td> </tr> <tr> <th> </th> <td> 1502471(SLEEVE) </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/21";"US - 203303 K.png"
"US - 203203 K";"2,4 Kg.";"<tbody> <tr> <th> MONROE </th> <td> CB0009 </td> </tr> <tr> <th> MONROE </th> <td> CB0030 </td> </tr> <tr> <th> MONROE </th> <td> 717262725 </td> </tr> <tr> <th> GOODYEAR </th> <td> 1SA005 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 202187K </td> </tr> <tr> <th> FIRESTONE </th> <td> W02M588004 </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 1435856 </td> </tr> <tr> <th> </th> <td> 1382826 </td> </tr> <tr> <th> </th> <td> 1397398 </td> </tr> <tr> <th> </th> <td> 1381906 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/19";"US - 203203 K.png"
